Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Barbados;Pospago;Gold / Gold +;321;ZooMoo;SD;Infantil;Si
Barbados;Pospago;Gold / Gold +;322;Nickelodeon USA;SD;Infantil;Si
Barbados;Pospago;Gold / Gold +;330;Discovery Kids;SD;Infantil;Si
Barbados;Pospago;Gold / Gold +;334;Cartoonito;SD;Infantil;Si
Barbados;Pospago;Gold / Gold +;358;DayStar;SD;Religioso;Si
Barbados;Pospago;Gold / Gold +;501;LMN US;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;502;TNT;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;503;Golden;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;506;Sony Movies;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;507;Cinecanal;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;508;Studio Universal;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;509;Cinemax;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;510;Paramount Channel;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;513;DHE;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;517;Golden Edge;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;518;Space;SD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;600;DSports Portal;SD;Deportes;Si
Barbados;Pospago;Gold / Gold +;610;Dsports;SD;Deportes;Si
Barbados;Pospago;Gold / Gold +;612;DSports 2;SD;Deportes;Si
Barbados;Pospago;Gold / Gold +;620;DSports Fight;SD;Deportes;Si
Barbados;Pospago;Gold / Gold +;621;ESPN Caribbean;SD;Deportes;Si
Barbados;Pospago;Gold / Gold +;622;ESPN 2 Caribbean;SD;Deportes;Si
Barbados;Pospago;Gold / Gold +;628;The Golf Channel LA;SD;Deportes;Si
Barbados;Pospago;Gold / Gold +;667;Flow Sports Network;SD;Deportes;Si
Barbados;Pospago;Gold / Gold +;702;CNN;SD;Noticias;Si
Barbados;Pospago;Gold / Gold +;706;CNN International;SD;Noticias;Si
Barbados;Pospago;Gold / Gold +;710;Bloomberg;SD;Noticias;Si
Barbados;Pospago;Gold / Gold +;730;National Geographic;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;732;Discovery Channel;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;734;Animal Planet;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;736;Discovery Turbo;SD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;740;Discovery Travel & Living Channel (TLC);SD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;742;History Channel LA;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;744;History 2 LA;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;746;Film & Arts;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;756;History Channel US;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;768;BBC News;SD;Informativo;Si
Barbados;Pospago;Gold / Gold +;1201;OnDIRECTV HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;1204;Star Channel HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1206;Warner Channel HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1207;A&E LA HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1208;Sony East HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1209;AXN HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1210;AMC LA HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1213;TNT Series HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1215;Comedy Central HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1217;FX HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1218;Universal TV HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1219;USA Network HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1222;E! Entertainment HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;1223;Investigation Discovery (ID) HD;HD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;1228;Lifetime LA HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1229;Discovery Home & Health HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;1264;MTV LA HD;HD;Musical;Si
Barbados;Pospago;Gold / Gold +;1304;Cartoon Network HD;HD;Infantil;Si
Barbados;Pospago;Gold / Gold +;1308;Nickelodeon LA HD;HD;Infantil;Si
Barbados;Pospago;Gold / Gold +;1309;Nick Jr. LA HD;HD;Infantil;Si
Barbados;Pospago;Gold / Gold +;1312;Disney Channel HD;HD;Infantil;Si
Barbados;Pospago;Gold / Gold +;1315;Disney Junior HD;HD;Infantil;Si
Barbados;Pospago;Gold / Gold +;1317;BabyTV HD;HD;Infantil;Si
Barbados;Pospago;Gold / Gold +;1330;Discovery Kids HD;HD;Infantil;Si
Barbados;Pospago;Gold / Gold +;1502;TNT HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1503;Golden HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1506;Sony Movies HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1507;Cinecanal HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1508;Studio Universal HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1509;Cinemax HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1510;Paramount Channel HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1513;DHE HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1515;Europa Europa HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1518;Space HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1521;TV Cortos HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Gold / Gold +;1610;DSports HD;HD;Deportes;Si
Barbados;Pospago;Gold / Gold +;1612;DSports 2 HD;HD;Deportes;Si
Barbados;Pospago;Gold / Gold +;1620;DSports Fight HD;HD;Deportes;Si
Barbados;Pospago;Gold / Gold +;1621;ESPN Caribbean HD;HD;Deportes;Si
Barbados;Pospago;Gold / Gold +;1628;The Golf Channel LA HD;HD;Deportes;Si
Barbados;Pospago;Gold / Gold +;1667;Flow Sports Network HD;HD;Deportes;Si
Barbados;Pospago;Gold / Gold +;1730;National Geographic HD;HD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;1731;Discovery Theater HD;HD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;1732;Discovery Channel HD;HD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;1734;Animal Planet HD;HD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;1738;Discovery World HD;HD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;1740;Discovery Travel & Living Channel (TLC) HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Gold / Gold +;1742;History Channel LA HD;HD;Ciencia Y Cultura;Si
Barbados;Pospago;Gold / Gold +;1744;History 2 LA HD;HD;Ciencia Y Cultura;Si
Barbados;Pospago;HBO Gold;131;CNC3;SD;Noticias;Si
Barbados;Pospago;HBO Gold;134;Synergy;SD;Nacional;Si
Barbados;Pospago;HBO Gold;201;OnDIRECTV;SD;Hogar Y Variedades;Si
Barbados;Pospago;HBO Gold;202;Star Channel;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;206;Warner Channel;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;207;A&E LA;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;208;Sony East;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;209;AXN;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;210;AMC LA;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;213;TNT Series;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;215;Comedy Central;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;216;TeenNick;SD;Infantil;Si
Barbados;Pospago;HBO Gold;217;FX;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;218;Universal TV;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;219;USA Network;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;220;Adult Swim;SD;Infantil;Si
Barbados;Pospago;HBO Gold;222;E! Entertainment;SD;Hogar Y Variedades;Si
Barbados;Pospago;HBO Gold;223;Investigation Discovery (ID);SD;Ciencia Y Cultura;Si
Barbados;Pospago;HBO Gold;228;Lifetime LA;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;229;Discovery Home & Health;SD;Hogar Y Variedades;Si
Barbados;Pospago;HBO Gold;233;Food Network US;SD;Gastronómico;Si
Barbados;Pospago;HBO Gold;250;HGTV US;SD;Hogar Y Variedades;Si
Barbados;Pospago;HBO Gold;253;BET;SD;Hogar Y Variedades;Si
Barbados;Pospago;HBO Gold;254;Paramount Channel;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;260;MTV USA HD;SD;Musical;Si
Barbados;Pospago;HBO Gold;262;VH1 USA;SD;Musical;Si
Barbados;Pospago;HBO Gold;264;MTV LA;SD;Musical;Si
Barbados;Pospago;HBO Gold;304;Cartoon Network;SD;Infantil;Si
Barbados;Pospago;HBO Gold;308;Nickelodeon LA;SD;Infantil;Si
Barbados;Pospago;HBO Gold;314;Disney Channel;SD;Infantil;Si
Barbados;Pospago;HBO Gold;315;Disney Junior;SD;Infantil;Si
Barbados;Pospago;HBO Gold;321;ZooMoo;SD;Infantil;Si
Barbados;Pospago;HBO Gold;322;Nickelodeon USA;SD;Infantil;Si
Barbados;Pospago;HBO Gold;330;Discovery Kids;SD;Infantil;Si
Barbados;Pospago;HBO Gold;334;Cartoonito;SD;Infantil;Si
Barbados;Pospago;HBO Gold;358;DayStar;SD;Religioso;Si
Barbados;Pospago;HBO Gold;502;TNT;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;503;Golden;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;506;Sony Movies;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;507;Cinecanal;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;508;Studio Universal;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;509;Cinemax;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;510;Paramount Channel;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;513;DHE;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;517;Golden Edge;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;518;Space;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;527;HBO Caribbean;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;528;HBO Signature;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;534;HBO Family;SD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;600;DSports Portal;SD;Deportes;Si
Barbados;Pospago;HBO Gold;610;Dsports;SD;Deportes;Si
Barbados;Pospago;HBO Gold;612;DSports 2;SD;Deportes;Si
Barbados;Pospago;HBO Gold;620;DSports Fight;SD;Deportes;Si
Barbados;Pospago;HBO Gold;621;ESPN Caribbean;SD;Deportes;Si
Barbados;Pospago;HBO Gold;622;ESPN 2 Caribbean;SD;Deportes;Si
Barbados;Pospago;HBO Gold;628;The Golf Channel LA;SD;Deportes;Si
Barbados;Pospago;HBO Gold;667;Flow Sports Network;SD;Deportes;Si
Barbados;Pospago;HBO Gold;702;CNN;SD;Noticias;Si
Barbados;Pospago;HBO Gold;706;CNN International;SD;Noticias;Si
Barbados;Pospago;HBO Gold;710;Bloomberg;SD;Noticias;Si
Barbados;Pospago;HBO Gold;730;National Geographic;SD;Ciencia Y Cultura;Si
Barbados;Pospago;HBO Gold;732;Discovery Channel;SD;Ciencia Y Cultura;Si
Barbados;Pospago;HBO Gold;734;Animal Planet;SD;Ciencia Y Cultura;Si
Barbados;Pospago;HBO Gold;736;Discovery Turbo;SD;Hogar Y Variedades;Si
Barbados;Pospago;HBO Gold;740;Discovery Travel & Living Channel (TLC);SD;Hogar Y Variedades;Si
Barbados;Pospago;HBO Gold;742;History Channel LA;SD;Ciencia Y Cultura;Si
Barbados;Pospago;HBO Gold;744;History 2 LA;SD;Ciencia Y Cultura;Si
Barbados;Pospago;HBO Gold;746;Film & Arts;SD;Ciencia Y Cultura;Si
Barbados;Pospago;HBO Gold;768;BBC News;SD;Informativo;Si
Barbados;Pospago;HBO Gold;1201;OnDIRECTV HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;HBO Gold;1204;Star Channel HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1206;Warner Channel HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1207;A&E LA HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1208;Sony East HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1209;AXN HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1210;AMC LA HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1213;TNT Series HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1215;Comedy Central HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1217;FX HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1218;Universal TV HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1219;USA Network HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1222;E! Entertainment HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;HBO Gold;1223;Investigation Discovery (ID) HD;HD;Ciencia Y Cultura;Si
Barbados;Pospago;HBO Gold;1228;Lifetime LA HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1229;Discovery Home & Health HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;HBO Gold;1264;MTV LA HD;HD;Musical;Si
Barbados;Pospago;HBO Gold;1304;Cartoon Network HD;HD;Infantil;Si
Barbados;Pospago;HBO Gold;1308;Nickelodeon LA HD;HD;Infantil;Si
Barbados;Pospago;HBO Gold;1309;Nick Jr. LA HD;HD;Infantil;Si
Barbados;Pospago;HBO Gold;1312;Disney Channel HD;HD;Infantil;Si
Barbados;Pospago;HBO Gold;1315;Disney Junior HD;HD;Infantil;Si
Barbados;Pospago;HBO Gold;1317;BabyTV HD;HD;Infantil;Si
Barbados;Pospago;HBO Gold;1330;Discovery Kids HD;HD;Infantil;Si
Barbados;Pospago;HBO Gold;1502;TNT HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1503;Golden HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1506;Sony Movies HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1507;Cinecanal HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1508;Studio Universal HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1509;Cinemax HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1510;Paramount Channel HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1513;DHE HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1515;Europa Europa HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1518;Space HD;HD;Series Y Peliculas;Si
