Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Colombia;Pospago;Access Id;710;Bloomberg;SD;Mundo;No
Colombia;Pospago;Access Id;716;Todo Noticias (TN);SD;Mundo;Si
Colombia;Pospago;Access Id;720;Canal 26;SD;Mundo;Si
Colombia;Pospago;Access Id;726;Canal Rural;SD;Mundo;Si
Colombia;Pospago;Access Id;730;National Geographic;SD;Mundo;Si
Colombia;Pospago;Access Id;732;Discovery Channel;SD;Mundo;Si
Colombia;Pospago;Access Id;734;Animal Planet;SD;Mundo;No
Colombia;Pospago;Access Id;736;Discovery Turbo;SD;Mundo;No
Colombia;Pospago;Access Id;740;Discovery Travel & Living Channel (TLC);SD;Mundo;No
Colombia;Pospago;Access Id;742;History Channel;SD;Mundo;No
Colombia;Pospago;Access Id;744;History 2;SD;Mundo;No
Colombia;Pospago;Access Id;760;Univision;SD;Mundo;No
Colombia;Pospago;Access Id;762;Antena 3 Internacional;SD;Mundo;No
Colombia;Pospago;Access Id;764;France 24 Español;SD;Mundo;Si
Colombia;Pospago;Access Id;766;Rai Italia;SD;Mundo;No
Colombia;Pospago;Access Id;768;BBC WORLD;SD;Mundo;No
Colombia;Pospago;Access Id;770;Deutsche Welle (DW) Español;SD;Mundo;No
Colombia;Pospago;Access Id;772;Caracol Internacional;SD;Mundo;No
Colombia;Pospago;Access Id;774;TV Chile Internacional;SD;Mundo;Si
Colombia;Pospago;Access Id;776;TV Globo;SD;Mundo;No
Colombia;Pospago;Access Id;778;RTP;SD;Mundo;No
Colombia;Pospago;Access Id;780;ZEE TV;SD;Mundo;No
Colombia;Pospago;Access Id;782;NHK World;SD;Mundo;No
Colombia;Pospago;Access Id;784;El Trece;SD;Mundo;Si
Colombia;Pospago;Access Id;786;Telefe;SD;Mundo;Si
Colombia;Pospago;Access Id;790;CGTN;SD;Mundo;Si
Colombia;Pospago;Access Id;980;Unión Radio Noticias;Radio;Radio;Si
Colombia;Pospago;Access Id;982;Radio Caracol;Radio;Radio;Si
Colombia;Pospago;Access Id;984;Radio France Internacional;Radio;Radio;Si
Colombia;Pospago;Access Id;985;Fiesta 106.5;Radio;Radio;No
Colombia;Pospago;Access Id;991;La FM Plus;Radio;Radio;Si
Colombia;Pospago;Access Id;992;Alerta Bogota;Radio;Radio;Si
Colombia;Pospago;Access Id;993;La W Radio;Radio;Radio;Si
Colombia;Pospago;Access Id;1127;DShow;HD;Variedades;Si
Colombia;Pospago;Access Id;1130;RCN HD;HD;Nacional;Si
Colombia;Pospago;Access Id;1132;Caracol TV HD;HD;Nacional;Si
Colombia;Pospago;Access Id;1136;Canal UNO;HD;Nacional;Si
Colombia;Pospago;Access Id;1137;Señal Colombia HD;HD;Nacional;Si
Colombia;Pospago;Access Id;1138;Señal Institucional HD;HD;Nacional;Si
Colombia;Pospago;Access Id;1140;Teleantioquia HD;HD;Nacional;Si
Colombia;Pospago;Access Id;1141;Telepacifico;HD;Nacional;Si
Colombia;Pospago;Access Id;1142;Telecaribe HD;HD;Nacional;Si
Colombia;Pospago;Access Id;1147;Cable Noticias HD;HD;Local;No
Colombia;Pospago;Access Id;1204;Star Channel HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1206;Warner Channel HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1207;A&E HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1208;Sony HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1209;AXN HD;HD;Variedades;No
Colombia;Pospago;Access Id;1210;AMC HD;HD;Variedades;No
Colombia;Pospago;Access Id;1213;TNT Series HD;HD;Variedades;No
Colombia;Pospago;Access Id;1214;Atres Series HD;HD;Variedades;No
Colombia;Pospago;Access Id;1215;Comedy Central HD;HD;Variedades;No
Colombia;Pospago;Access Id;1217;FX HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1218;Universal TV HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1219;USA Network HD;HD;Variedades;No
Colombia;Pospago;Access Id;1221;Hola TV HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1222;E! Entertainment HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1223;Investigation Discovery (ID) HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1228;Lifetime HD;HD;Variedades;No
Colombia;Pospago;Access Id;1229;Discovery Home & Health HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1231;Alacocina TV;HD;Variedades;Si
Colombia;Pospago;Access Id;1232;El Gourmet HD;HD;Variedades;No
Colombia;Pospago;Access Id;1233;Food Network;HD;Variedades;No
Colombia;Pospago;Access Id;1234;HGTV HD;HD;Variedades;No
Colombia;Pospago;Access Id;1236;VePlus HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1264;MTV HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1265;Music Top;HD;Variedades;Si
Colombia;Pospago;Access Id;1266;Tierra Mía HD;HD;Variedades;Si
Colombia;Pospago;Access Id;1270;Latina TV;HD;Variedades;Si
Colombia;Pospago;Access Id;1273;INTI Network HD;HD;Variedades;No
Colombia;Pospago;Access Id;1304;Cartoon Network HD;HD;Infantil;Si
Colombia;Pospago;Access Id;1308;Nick HD;HD;Infantil;Si
Colombia;Pospago;Access Id;1309;Nick Jr. HD;HD;Infantil;No
Colombia;Pospago;Access Id;1312;Disney Channel HD;HD;Infantil;Si
Colombia;Pospago;Access Id;1315;Disney Junior HD;HD;Infantil;Si
Colombia;Pospago;Access Id;1317;BabyTV;SD;Infantil;No
Colombia;Pospago;Access Id;1318;Plim Plim;HD;Infantil;No
Colombia;Pospago;Access Id;1319;El Reino Infantil;HD;Infantil;No
Colombia;Pospago;Access Id;1330;Discovery Kids HD;HD;Infantil;Si
Colombia;Pospago;Access Id;1502;TNT HD;HD;Cine;Si
Colombia;Pospago;Access Id;1503;Golden HD;HD;Cine;No
Colombia;Pospago;Access Id;1506;Sony Movies;HD;Cine;No
Colombia;Pospago;Access Id;1507;Cine HD;HD;Cine;Si
Colombia;Pospago;Access Id;1508;Studio Universal HD;HD;Cine;Si
Colombia;Pospago;Access Id;1509;Cinemax HD;HD;Cine;No
Colombia;Pospago;Access Id;1510;Mórbido TV;HD;Cine;No
Colombia;Pospago;Access Id;1513;DHE HD;HD;Cine;No
Colombia;Pospago;Access Id;1518;Space HD;HD;Cine;Si
Colombia;Pospago;Access Id;1524;HBO HD;HD;Cine;No
Colombia;Pospago;Access Id;1525;HBO 2 HD;HD;Cine;No
Colombia;Pospago;Access Id;1528;HBO Signature HD;HD;Cine;No
Colombia;Pospago;Access Id;1532;HBO Plus HD;HD;Cine;No
Colombia;Pospago;Access Id;1534;HBO Family HD;HD;Cine;No
Colombia;Pospago;Access Id;1542;HBO Xtreme HD;HD;Cine;No
Colombia;Pospago;Access Id;1571;Universal Premiere Este;HD;PPV;No
Colombia;Pospago;Access Id;1572;Universal Cinema;HD;PPV;No
Colombia;Pospago;Access Id;1573;Universal Comedy;HD;PPV;No
Colombia;Pospago;Access Id;1574;Universal Crime Este;HD;PPV;No
Colombia;Pospago;Access Id;1575;Universal Reality;HD;PPV;No
Colombia;Pospago;Access Id;1576;Universal Premiere Oeste;HD;PPV;No
Colombia;Pospago;Access Id;1577;Universal Cinema Oeste;HD;PPV;No
Colombia;Pospago;Access Id;1610;DSports HD;HD;Deportes;Si
Colombia;Pospago;Access Id;1612;DSports 2 HD;HD;Deportes;Si
Colombia;Pospago;Access Id;1613;DSports+ HD;HD;Deportes;Si
Colombia;Pospago;Access Id;1621;ESPN HD;HD;Deportes;Si
Colombia;Pospago;Access Id;1622;ESPN 2 HD;HD;Deportes;Si
Colombia;Pospago;Access Id;1623;ESPN 3 HD;HD;Deportes;No
Colombia;Pospago;Access Id;1624;ESPN 4 HD;HD;Deportes;No
Colombia;Pospago;Access Id;1625;ESPN 5 HD;HD;Deportes;No
Colombia;Pospago;Access Id;1626;ESPN 6 HD;HD;Deportes;Si
Colombia;Pospago;Access Id;1627;ESPN 7 HD;HD;Deportes;Si
Colombia;Pospago;Access Id;1628;Golf Channel HD;HD;Deportes;No
Colombia;Pospago;Access Id;1631;DSports Show;HD;Deportes;No
Colombia;Pospago;Access Id;1633;Win Sports HD;HD;Deportes;Si
Colombia;Pospago;Access Id;1634;Win Sports Mas;HD;Deportes;No
Colombia;Pospago;Access Id;1636;One Baseball Network;HD;PPV;No
Colombia;Pospago;Access Id;1639;PX Sports;HD;Deportes;No
Colombia;Pospago;Access Id;1700;DNews HD;HD;Mundo;No
Colombia;Pospago;Access Id;1730;National Geographic HD;HD;Mundo;Si
Colombia;Pospago;Access Id;1731;Discovery Theater HD;HD;Mundo;No
Colombia;Pospago;Access Id;1732;Discovery Channel HD;HD;Mundo;Si
Colombia;Pospago;Access Id;1734;Animal Planet HD;HD;Mundo;No
Colombia;Pospago;Access Id;1738;Discovery World HD;HD;Mundo;No
Colombia;Pospago;Access Id;1740;Discovery Travel & Living Channel (TLC) HD;HD;Mundo;No
Colombia;Pospago;Access Id;1742;History Channel HD;HD;Mundo;No
Colombia;Pospago;Access Id;1744;History 2 HD;HD;Mundo;No
Colombia;Pospago;Access Id;1750;Encuentro Internacional HD;HD;Variedades;No
Colombia;Pospago;Access Id;1762;Antena 3 Internacional HD;HD;Mundo;No
Colombia;Pospago;Access Id;1764;France 24 Español;HD;Mundo;Si
