Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
PUERTO RICO;CORPORATIVO;CMBAR ST;322;NICKELODEON;HD;INFANTIL
PUERTO RICO;CORPORATIVO;CMBAR ST;324;DISNEY CHANNEL;HD;INFANTIL
PUERTO RICO;CORPORATIVO;CMBAR ST;326;DISNEY XD;HD;INFANTIL
PUERTO RICO;CORPORATIVO;CMBAR ST;330;DISCOVERY KIDS LA;SD;INFANTIL
PUERTO RICO;CORPORATIVO;CMBAR ST;332;LOOLOO KIDS;SD;INFANTIL
PUERTO RICO;CORPORATIVO;CMBAR ST;336;BOOMERANG;SD;INFANTIL
PUERTO RICO;CORPORATIVO;CMBAR ST;338;VME;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;339;BABY FIRST TV;SD;INFANTIL
PUERTO RICO;CORPORATIVO;CMBAR ST;350;EWTN;SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;CMBAR ST;352;ENLACE;SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;CMBAR ST;511;AMC;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMBAR ST;514;CINE LATINO;SD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMBAR ST;516;DE PELÍCULA;SD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMBAR ST;702;CNN;HD;NOTICIAS
PUERTO RICO;CORPORATIVO;CMBAR ST;704;CNN EN ESPAÑOL;SD;NOTICIAS
PUERTO RICO;CORPORATIVO;CMBAR ST;708;HEADLINE NEWS;HD;NOTICIAS
PUERTO RICO;CORPORATIVO;CMBAR ST;710;BLOOMBERG;HD;NOTICIAS
PUERTO RICO;CORPORATIVO;CMBAR ST;712;ACCUWEATHER;HD;NOTICIAS
PUERTO RICO;CORPORATIVO;CMBAR ST;720;C-SPAN2;SD;INFORMATIVO
PUERTO RICO;CORPORATIVO;CMBAR ST;730;NAT GEO MUNDO;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMBAR ST;732;DISCOVERY EN ESPAÑOL;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMBAR ST;734;ANIMAL PLANET LA;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMBAR ST;742;HISTORY ANDES;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMBAR ST;744;FYI;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMBAR ST;745;SYFY;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMBAR ST;752;DISCOVERY US;HD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMBAR ST;754;THE LEARNING CHANNEL;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMBAR ST;756;HISTORY US;HD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMBAR ST;760;TVE;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;762;ANTENA 3;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMBAR ST;764;HITN;SD;EDUCATIVO
PUERTO RICO;CORPORATIVO;CMOFF ST;162;TELEMUNDO PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;164;WAPA TV;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;166;WIPR;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;167;UNIVISION;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;168;TELEONCE;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;169;DAYSTAR ESPAÑOL;SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;CMOFF ST;170;FOX PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;172;ABC5 PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;174;CBS PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;176;NBC PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;179;PUNTO 2;HD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;181;TV DOMINICANA;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;185;TELECINCO;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;188;QVC;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMOFF ST;189;QVC 2;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMOFF ST;190;HOME SHOPPING NETWORK;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMOFF ST;191;HOME SHOPPING NETWORK 2;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMOFF ST;220;BRAVO TV;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMOFF ST;225;PASIONES;SD;TELENOVELAS
PUERTO RICO;CORPORATIVO;CMOFF ST;226;QVC;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMOFF ST;227;HOME SHOPPING NETWORK;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMOFF ST;228;FOOD NETWORK;HD;GASTRONÓMICO
PUERTO RICO;CORPORATIVO;CMOFF ST;229;BLOSSOM;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMOFF ST;244;TNT;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMOFF ST;246;USA;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMOFF ST;248;TBS;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMOFF ST;249;TL NOVELAS;SD;TELENOVELAS
PUERTO RICO;CORPORATIVO;CMOFF ST;250;HGTV;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMOFF ST;252;FREEFORM;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMOFF ST;254;PARAMOUNT;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMOFF ST;256;A&E;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMOFF ST;260;MTV;HD;MUSICAL
PUERTO RICO;CORPORATIVO;CMOFF ST;262;VH1;HD;MUSICAL
PUERTO RICO;CORPORATIVO;CMOFF ST;263;COMEDY CENTRAL;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMOFF ST;268;SO YUMMY!;SD;GASTRONÓMICO
PUERTO RICO;CORPORATIVO;CMOFF ST;320;CARTOON NETWORK;HD;INFANTIL
PUERTO RICO;CORPORATIVO;CMOFF ST;322;NICKELODEON;HD;INFANTIL
PUERTO RICO;CORPORATIVO;CMOFF ST;324;DISNEY CHANNEL;HD;INFANTIL
PUERTO RICO;CORPORATIVO;CMOFF ST;326;DISNEY XD;HD;INFANTIL
PUERTO RICO;CORPORATIVO;CMOFF ST;330;DISCOVERY KIDS LA;SD;INFANTIL
PUERTO RICO;CORPORATIVO;CMOFF ST;332;LOOLOO KIDS;SD;INFANTIL
PUERTO RICO;CORPORATIVO;CMOFF ST;336;BOOMERANG;SD;INFANTIL
PUERTO RICO;CORPORATIVO;CMOFF ST;338;VME;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;339;BABY FIRST TV;SD;INFANTIL
PUERTO RICO;CORPORATIVO;CMOFF ST;350;EWTN;SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;CMOFF ST;352;ENLACE;SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;CMOFF ST;511;AMC;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMOFF ST;514;CINE LATINO;SD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMOFF ST;516;DE PELÍCULA;SD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMOFF ST;702;CNN;HD;NOTICIAS
PUERTO RICO;CORPORATIVO;CMOFF ST;704;CNN EN ESPAÑOL;SD;NOTICIAS
PUERTO RICO;CORPORATIVO;CMOFF ST;708;HEADLINE NEWS;HD;NOTICIAS
PUERTO RICO;CORPORATIVO;CMOFF ST;710;BLOOMBERG;HD;NOTICIAS
PUERTO RICO;CORPORATIVO;CMOFF ST;712;ACCUWEATHER;HD;NOTICIAS
PUERTO RICO;CORPORATIVO;CMOFF ST;720;C-SPAN2;SD;INFORMATIVO
