Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
ARGENTINA;POSPAGO;BRONCE SD;732;DISCOVERY;SD;CIENCIA Y CULTURA
ARGENTINA;POSPAGO;BRONCE SD;734;ANIMAL PLANET;SD;CIENCIA Y CULTURA
ARGENTINA;POSPAGO;BRONCE SD;742;HISTORY;SD;CIENCIA Y CULTURA
ARGENTINA;POSPAGO;BRONCE SD;764;FRANCE 24;SD;NOTICIAS
ARGENTINA;POSPAGO;BRONCE SD;773;EL TIEMPO TV;SD;NOTICIAS
ARGENTINA;POSPAGO;BRONCE SD;774;TV CHILE;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;790;CGTN ESPAÑOL;SD;NOTICIAS
ARGENTINA;POSPAGO;BRONCE SD;795;TV PERÚ;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;804;ESCUELA+;SD;EDUCATIVO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;120;AMÉRICA;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;121;TV PÚBLICA;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;122;EL NUEVE;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;123;TELEFÉ;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;124;EL TRECE;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;125;NET TV;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;126;BRAVO TV;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;127;DSHOW;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;128;ENCUENTRO;SD;EDUCATIVO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;129;CANAL DE LA CIUDAD;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;130;CANAL 7 DE MENDOZA;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;131;CANAL 9 DE MENDOZA;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;132;CANAL 13 DE RÍO CUARTO;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;133;CANAL 7 DE JUJUY;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;134;CANAL 3 DE ROSARIO;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;135;CANAL 12 DE CÓRDOBA;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;136;TELEFÉ CÓRDOBA;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;137;TELEFÉ ROSARIO;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;139;TVPP PAMPA;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;140;CANAL 8 DE SAN JUAN;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;199;KZO;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;204;STAR CHANNEL;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;206;WARNER;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;207;A&E;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;208;SONY;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;209;AXN;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;217;FX;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;218;UNIVERSAL;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;221;¡HOLA! TV;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;222;E!;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;229;DISCOVERY HOME & HEALTH;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;231;TELEMUNDO;SD;TELENOVELAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;236;CIUDAD MAGAZINE;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;238;VOLVER;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;240;CARAS TV;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;264;MTV;SD;MUSICAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;269;QUIERO MÚSICA EN MI IDIOMA;SD;MUSICAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;303;PAKA PAKA;SD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;304;CARTOON NETWORK;SD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;310;REINO INFANTIL;SD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;312;DISNEY CHANNEL;SD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;315;DISNEY JUNIOR;SD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;318;PLIM PLIM;SD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;330;DISCOVERY KIDS;SD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;350;EWTN;SD;RELIGIOSO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;351;ORBE 21;SD;RELIGIOSO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;352;ENLACE;SD;RELIGIOSO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;354;CANAL LUZ;SD;RELIGIOSO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;358;DAYSTAR;SD;RELIGIOSO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;502;TNT;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;507;CINECANAL;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;508;STUDIO UNIVERSAL;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;512;CINE.AR;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;518;SPACE;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;605;FOX SPORTS ARGENTINA;SD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;608;FOX SPORTS 2;SD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;609;FOX SPORTS 3;SD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;610;DSPORTS;SD;DEPORTES
