Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
BARBADOS;POSPAGO;GOLD / GOLD +;206;WARNER;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;207;A&E LA;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;208;SONY EAST;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;209;AXN;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;210;AMC LA;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;213;TNT SERIES;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;215;COMEDY CENTRAL;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;216;TEEN NICK;SD;INFANTIL
BARBADOS;POSPAGO;GOLD / GOLD +;217;FX;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;218;UNIVERSAL;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;219;USA;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;220;ADULT SWIM;SD;INFANTIL
BARBADOS;POSPAGO;GOLD / GOLD +;222;E!;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;GOLD / GOLD +;223;ID;SD;CIENCIA Y CULTURA
BARBADOS;POSPAGO;GOLD / GOLD +;228;LIFETIME LA;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;229;DISCOVERY HOME & HEALTH;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;GOLD / GOLD +;233;FOOD NETWORK US;SD;GASTRONÓMICO
BARBADOS;POSPAGO;GOLD / GOLD +;250;HGTV US;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;GOLD / GOLD +;251;LIFETIME USA;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;253;BET;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;GOLD / GOLD +;254;PARAMOUNT;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;256;A&E USA;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;260;MTV USA SD;SD;MUSICAL
